question,answer
"A 23-year-old woman is noticed to have irregular pupils on routine examination. She has 1 large pupil, which has minimal response to light stimulation, but it does respond to accommodation. The eye movements are normal and she experiences no double vision.For the above patient with a pupillary abnormality, select the most likely diagnosis.",tonic pupils (Holmes-Adie syndrome)
Which of the following is secreted by TRH stimulation?,Both
All of the following are components of withdrawl reflex except,Inverse stretch reflex
"A 20 year old boy c/o hearing of voices, aggressive behavior since 2 days. He has fever since 2 days. When asked to his family, they say that he has been muttering to self and gesticulating. There is no of psychiatric illness. Likely diagnosis is:",Acute psychosis
Antiendomysial antibody is used in screening of ?,Myasthenia gravis
Smoke stake pattern is characteristic of?,Central serous retinopathy
Edrophonium binds to which site of Acetylcholinesterase,Anionic site
"What is the expected mixed venous oxygen tension, in mm Hg, in a normal adult after breathing 100% oxygen for 10 minutes?",45
Physiological uncoupler is,All of the above
A patient with pheochromocytoma would secrete which of the following in a higher concentration?,Norepinephrine
Donepezil is used in treatment of -,Alzheimer's dementia
Lisch nodules (Pigmented Iris hamartomas) are seen in,Neurofibromatosis
Renshaw cell inhibition is an example of:,Recurrent inhibition
Homonymous hemianopsia is associated with lesion at,Optic tract
The major initiating response for peristalsis is,Local stretching of gut
Semicircular canal perceives ___________,Angular acceleration
Organ of coi is situated in ?,Basilar membrane
Which is not a finding in viral encephalitis?,A strogl i a I proliferation
Most accepted theory for conduction of pain is,Gate control theory
Which of glial cell is mesodermal in origin -,Microglial cells
Which muscle is most resistant to neuromuscular blockage?,Diaphragm
"Which cerebral layer is referred as ""Internal granule cell layer""?",Layer/Lamina IV
Antiparkinsonian drug activating D2 receptors directly,Pramipixole
Sympathetic stimulation increases blood flow except:,Skin
"An adult hypeensive male presented with sudden onset severe headache and vomiting. On examination, there is marked neck rigidity and no focal neurological deficit was found. The symptoms are most likely due to:",Subarachnoid hemorrhage
"All of the following effects can occur if vagus is stimulated, except: March 2009",Bronchial musculature relaxation
"When information memorized afterward is interfered by the information learned earlier, it is called :",Proactive inhibition
Common peroneal nerve is related to which of the following structures,Neck of fibula
Fasciculations are caused by,Scoline
What is the S.I. unit of effective dose?,Sievert
Zone of HOHL refers to:,Cell rich zone.
Not a component of Brain stem,Spinal cord
Structure superficial to mylohyoid in anterior digastric triangle are:,Mylohyoid aery & nerve
Which of the following physiological change take place by Bainbridge reflex?,Increase in HR
All are dopaminergic agonists used for parkinsonism EXCEPT,Selegiline
The age at which a child can make a tower of 9 cubes and draw a circle is,36 months
Aminoglycoside affects ?,Outer hair cells in basal area
Biochemical etiology of Alzheimer's disease relates to,Acetylcholine
Arousal response is mediated by,Reticular activating system
Cocospinal tract lesion leads to:,All
An attack of migraine can be easily terminated by:,Ergotamine
True statement about Korsakoff's psychosis is -,Severe antegrade + Mild retrograde memory defect
V asomotor eentre of medulla is associated with:,Acts with the cardiovagal centre to maintain BP
Selective serotonin reuptake inhibitors are drugs of choice for all of the following conditions except:,Acute panic attack
Maximum increase in prolactin level is caused by:-,Risperidone
"Ramkali bai, a 35-year-old female presented with a one-year history of menstrual irregularity and galactorrhoea. She also had off and on headache, her examination revealed bitemporal superior quadrantanopia. Her fundus examination showed primary optic atrophy. Which of the following is a most likely diagnosis in this case -",Pituitary macroadenoma
The best investigation to diagnose a case of acoustic neuroma is –,Gadolinium enhanced MRI
Which statements is not true regarding acute starvation?,Only ketone bodies utilized by brain for energy
Antiepileptics used as analgesics are :,Carbamazepine and phenytoin
Imaging tool of choice for GD?,DWI MRI with ADC maps
Cell shape and motility are provided by,Microtubules
"About inverse agonism, true is:",Binds to the same receptor binding-site as an agonist for that receptor but exerts the opposite pharmacological effect
"An 8-year-old child is evaluated by the pediatrician, who notes small cafe-au-lait spots on the child's torso. In addition, on close inspection of the eyes, the presence of Lisch nodules is noted. The patient is eventually diagnosed with neurofibromatosis type 1. The protein that is mutated in this disorder normally does which of the following functions?",Activates the GTPase activity of Ras
Absolute contraindication for MRI:,Pacemaker
Which of the following enzyme is inhibited by Aminophylline ?,Phosphodiesterase
Protein synthesis occurs in,Ribosome
Psychosurgery is used in,OCD
Crossed aphasia means-,Right hemispherical lesion in right handed person
Anticipation is seen in?,Trinucleotide - repeat expansion
Vagal stimulation of hea causes? (irrelevant to pharmacology),Increased RR interval in ECG
Phantom limp sensation are best described by,Law of projection
ADH is released from: March 2013,Posterior pituitary
The facial muscle responsible for frowning:,Corrugator supercilii and procerus
Trochlear nerve all true except,Supplies ipsilateral superior oblique muscles
First sign of compament syndrome is ?,Pain
Damage to median nerv e produces -,Ape thumb
"A 31-year-old patient complains of sensory loss over the anterior and posterior surfaces of the medial third of the hand and the medial one and one-half fingers. He is diagnosed by a physician as having ""funny bone"" symptoms. Which of the following nerves is injured?",Ulnar
Familial amylodotic polyneuropathy is due to amyloidosis of nerves caused by deposition of,Mutant transthyretin
Body temperature regulation centre is located at,Hypothalamus
Distal muscles of the hand needed for fine wrok are controlled by-,Ulnar nerve
Drug of choice for neurogenic diabetes insipidus,Desmopressin
"In transtentorial herniation, a pa of the brain is displaced from the supratentorial to the infratentorial compament through the tentorial opening. It results in all of the following, EXCEPT:",Ipsilateral hemiparesis
"In Von Hippel-Lindau Syndrome, the retinal vascular tumours are often associated with intracranial hemangioblastoma. Which one of the following regions is associated with such vascular abnormalities in this syndrome'?",Cerebellum
Tetracycline inhibits protein synthesis by?,Binding to 30 S subunit and inhibits binding of aminoacyltRNA
Low grade Central Nervous System tumour among the following is,Meningioma
Skeletal frame work of a cell is maintained by:,Microtubules
Cold caloric test stimulates,Lateral semicircular canal
Cells present in Cerebellar coex are all except?,Bipolar
Enzyme that protects the brain from free radical injury is,Superoxide dismutase
Which is the only phacomatosis to be inherited on an autosomal recessive basis:,Ataxia-telangiectasia
Nucleus accumbens is related to which of the following?,Basal ganglia
A 40-year-old woman is suspected of having a carotid body tumor. Which one of the following is most characteristic of such a tumor?Carotid body tumor,They arise from the structures that respond to changes in PO2.
